A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존(공학인증)",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양-기초과학,,CHM1021,화학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양-기초과학,,CHM1022,화학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양-기초과학,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양-기초과학,,PHY1002,물리학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양-기초과학,,CHM1028,화학실험 1,1.0,1학년(1학기),실험 : 4과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양-기초과학,,CHM1029,화학실험 2,1.0,1학년(2학기),실험 : 4과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양-기초과학,,PHY1003,물리학실험 1,1.0,1학년(1학기),실험 : 4과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양-기초과학,,PHY1004,물리학실험 2,1.0,1학년(2학기),실험 : 4과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양-수학,,ACE2101,공업수학 1,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양-수학,,ACE2102,공업수학 2,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양-수학,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양-수학,,MTH1002,일반수학 2,3.0,1학년(2학기),
전공필수,,공통과정,전공핵심,MSE1002,창의적신소재공학설계,3.0,1학년(2학기),
전공필수,,공통과정,전공기반,MSE2001,재료과학 1,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,MSE2002,재료과학 2,3.0,2학년(2학기),
전공필수,,공통과정,전공기반,MSE2003,물리화학 1,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,MSE2004,물리화학 2,3.0,2학년(2학기),
전공필수,,공통과정,전공기반,MSE2005,재료역학,3.0,2학년(1학기),
전공필수,,공통과정,전공핵심,MSE3001,재료공학실험 1,2.0,3학년(1학기),
전공필수,,공통과정,전공핵심,MSE3002,재료공학실험 2,2.0,3학년(2학기),
전공필수,,공통과정,전공기반,MSE3003,재료열역학,3.0,3학년(1학기),
전공필수,,공통과정,전공핵심,MSE4001,신소재공학종합설계,4.0,"4학년(1,2학기)",
전공필수,,구조영역,전공기반,MSE2006,결정학,3.0,2학년(1학기),
전공필수,,구조영역,전공기반,MSE2007,재료조직 및 상평형,3.0,2학년(2학기),
전공선택,,,,MSE2015,소재데이터수치해석,3.0,2학년(2학기),
전공선택,,,,MSE3030,재료가공시뮬레이션,3.0,3학년(2학기),
전공선택,,,,MSE3031,자원 리싸이클링 공학,3.0,3학년(1학기),
전공선택,,,,MSE4020,소재시뮬레이션,3.0,4학년(1학기),
전공선택,,,,MSE4024,나노소재와 소자응용,3.0,4학년(1학기),
전공선택,,공정영역,전공핵심,MSE3016,물질이동현상,3.0,3학년(1학기),
전공선택,,공정영역,전공핵심,MSE3018,주조응고학,3.0,3학년(2학기),
전공선택,,공정영역,전공핵심,MSE3020,반도체공정,3.0,3학년(2학기),
전공선택,,공정영역,전공핵심,MSE3024,박막공학,3.0,3학년(2학기),
전공선택,,공정영역,전공핵심,MSE3025,반도체소자,3.0,3학년(1학기),
전공선택,,공정영역,전공집중,MSE4012,고체반응론,3.0,4학년(1학기),
전공선택,,공정영역,,MSE4018,첨단분말공정,3.0,4학년(2학기),
전공선택,,구조영역,전공핵심,MSE3004,상변태론,3.0,3학년(2학기),
전공선택,,구조영역,전공핵심,MSE3005,재료결정화학,3.0,4학년(2학기),
전공선택,,구조영역,전공핵심,MSE4002,재료분석법,3.0,3학년(2학기),
전공선택,,물성영역,전공핵심,MSE2009,물리금속학,3.0,3학년(1학기),
전공선택,,물성영역,전공핵심,MSE2010,세라믹개론,3.0,2학년(1학기),
전공선택,,물성영역,전공핵심,MSE3007,비철재료,3.0,3학년(2학기),
전공선택,,물성영역,전공핵심,MSE3009,전자재료물성,3.0,3학년(1학기),
전공선택,,물성영역,전공핵심,MSE3010,디스플레이공학,3.0,3학년(2학기),
전공선택,,물성영역,전공핵심,MSE3011,재료강도학,3.0,3학년(1학기),
전공선택,,물성영역,전공핵심,MSE3013,철강재료,3.0,4학년(1학기),
전공선택,,물성영역,전공핵심,MSE3014,내열금속재료,3.0,3학년(2학기),
전공선택,,물성영역,전공핵심,MSE3015,에너지/환경재료,3.0,3학년(2학기),
전공선택,,물성영역,전공집중,MSE4004,전자세라믹스,3.0,4학년(1학기),
전공선택,,물성영역,전공핵심,MSE4005,복합재료,3.0,4학년(1학기),
