A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,ACE1302,컴퓨터프로그래밍,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,ACE2101,공업수학 1,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,ACE2102,공업수학 2,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양영역,,CHM1021,화학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1022,화학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,CHM1028,화학실험 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1029,화학실험 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1002,물리학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1003,물리학실험 1,1.0,1학년(1학기),
전공필수,,공통,전공기반,ENR1101,에너지자원과 미래,1.0,1학년(1학기),
전공필수,,공통,전공기반,ENR2104,에너지자원경제,3.0,2학년(2학기),
전공필수,,공통,전공기반,ENR2105,에너지자원수치해석,3.0,2학년(2학기),
전공필수,,공통,,ENR2113,에너지자원지질,3.0,2학년(1학기),
전공필수,,공통,전공핵심,ENR3102,지구물리탐사,3.0,3학년(1학기),
전공필수,,광물,전공핵심,ENR3204,자원개발공학,3.0,3학년(2학기),
전공필수,,석유,,ENR3315,지오에너지공학개론,3.0,3학년(1학기),
전공선택,,공통,전공기반,ENR2102,유체역학,3.0,2학년(1학기),
전공선택,,공통,,ENR2106,신재생에너지,3.0,2학년(1학기),
전공선택,,공통,,ENR2107,에너지열역학,3.0,2학년(1학기),
전공선택,,공통,전공핵심,ENR3103,지구통계학,3.0,3학년(1학기),
전공선택,,공통,,ENR3111,에너지환경기술경영,3.0,3학년(1학기),
전공선택,,공통,,ENR3207,이산화탄소 포집 및 저장 기술,3.0,3학년(2학기),
전공선택,,공통,,ENR4104,풍력에너지,3.0,4학년(1학기),
전공선택,,공통,,ENR4105,순환경제,3.0,4학년(1학기),
전공선택,,공통,,ENR4113,에너지전환 및 정책,3.0,4학년(2학기),
전공선택,,광물,,ENR2211,광물 탐사 및 평가,3.0,2학년(2학기),
전공선택,,광물,전공핵심,ENR3201,광상학,3.0,3학년(1학기),
전공선택,,광물,전공핵심,ENR3202,암석역학 및 실험,4.0,3학년(1학기),
전공선택,,광물,,ENR3206,에너지자원환경,3.0,3학년(2학기),
전공선택,,광물,전공핵심,ENR4201,발파 및 굴착공학,3.0,4학년(1학기),
전공선택,,광물,,ENR4213,배터리핵심 광물 종합 실무,3.0,4학년(2학기),
전공선택,,광물,,ENR4215,에너지저장과 안전,3.0,4학년(2학기),
전공선택,,석유,전공핵심,ENR2301,석유지질,3.0,2학년(2학기),
전공선택,,석유,전공핵심,ENR3302,물리검층,3.0,3학년(2학기),
전공선택,,석유,전공핵심,ENR3304,탄성파 탐사,3.0,3학년(2학기),
전공선택,,석유,,ENR3313,시추 및 지층평가공학,3.0,3학년(1학기),
전공선택,,석유,,ENR4310,머신러닝 기반 지구물리자료처리,3.0,4학년(1학기),
전공선택,,석유,,ENR4311,미래가스공학,3.0,4학년(1학기),
전공선택,,석유,,ENR4312,저류 모델링 및 시뮬레이션,3.0,4학년(1학기),
전공선택,,석유,,ENR4314,비전통에너지 설계 및 평가,3.0,4학년(2학기),
전공선택,,석유,,ENR4319,지오에너지 생산 및 설비,3.0,4학년(2학기),
