,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
1,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
2,교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
3,교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
4,교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
5,교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
6,교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
8,교양필수,계열교양영역,계열교양,,MCT1001,디지털논리회로,3.0,1학년(1학기),
9,교양필수,계열교양영역,계열교양,,MCT2001,통계학,3.0,2학년(2학기),
10,교양필수,계열교양영역,계열교양,,MCT2002,일반역학,3.0,2학년(1학기),
11,교양필수,계열교양영역,계열교양,,MTH1001,일반수학 1,3.0,1학년(1학기),
12,교양필수,계열교양영역,계열교양,,MTH1002,일반수학 2,3.0,1학년(2학기),
13,전공필수,,공통,,MCT9006,공학프로젝트 4,3.0,4학년(2학기),
14,전공필수,,기계계열,전공핵심,MCT2101,정역학,3.0,2학년(1학기),
15,전공필수,,기계계열,전공핵심,MCT2102,재료역학,3.0,2학년(2학기),
16,전공필수,,기계계열,전공핵심,MCT2103,CAD/CAM,3.0,2학년(1학기),
17,전공필수,,IT계열,,MCT1602,컴퓨터프로그래밍,3.0,1학년(2학기),
18,전공필수,,IT계열,전공핵심,MCT2601,회로이론,3.0,2학년(1학기),
19,전공선택,,공통,전공집중,MCT9002,공학프로젝트 2,3.0,3학년(2학기),
20,전공선택,,공통,전공집중,MCT9003,공학프로젝트 3,3.0,4학년(1학기),
21,전공선택,,공통,전공집중,MCT9005,공학프로젝트 1,3.0,3학년(1학기),
22,전공선택,,공통,,MCT9007,다학년 연구프로젝트,3.0,3학년(2학기),
23,전공선택,,기계계열,전공기반,MCT1102,메카트로닉스입문,3.0,1학년(2학기),
24,전공선택,,기계계열,,MCT3101,동역학,3.0,3학년(1학기),
25,전공선택,,기계계열,전공집중,MCT3105,로봇공학,3.0,3학년(2학기),
26,전공선택,,기계계열,전공핵심,MCT3107,기구학,3.0,4학년(1학기),
27,전공선택,,기계계열,,MCT3302,전산기계해석공학,3.0,3학년(1학기),
28,전공선택,,기계계열,,MCT3333,유체역학,3.0,3학년(2학기),
29,전공선택,,기계계열,,MCT3606,액츄에이터개론,3.0,3학년(1학기),
30,전공선택,,기계계열,,MCT3607,시퀀스제어,3.0,3학년(2학기),
31,전공선택,,기계계열,전공집중,MCT4102,자동제어,3.0,4학년(1학기),
32,전공선택,,기계계열,,MCT4107,센서및계측공학,3.0,4학년(1학기),
33,전공선택,,기계계열,,MCT4108,메카트로닉스 시스템설계,3.0,4학년(1학기),
34,전공선택,,기계계열,,MCT4109,기계종합설계,3.0,4학년(2학기),
35,전공선택,,기계계열,,MCT4111,항공공학 입문,3.0,4학년(2학기),
36,전공선택,,기계계열,,MCT4606,IoT/USN설계,3.0,4학년(2학기),
37,전공선택,,IT계열,,MCT2603,전자회로,3.0,2학년(2학기),
38,전공선택,,IT계열,,MCT2604,객체지향프로그래밍,3.0,2학년(2학기),
39,전공선택,,IT계열,전공핵심,MCT3604,전력공학,3.0,3학년(2학기),
40,전공선택,,IT계열,,MCT3605,임베디드시스템응용,3.0,3학년(1학기),
41,전공선택,,IT계열,,MCT3871,반도체개론,3.0,3학년(2학기),
42,전공선택,,IT계열,전공집중,MCT4103,전기기기,3.0,4학년(1학기),
43,전공선택,,IT계열,전공집중,MCT4602,전자기학,3.0,3학년(2학기),
44,전공선택,,IT계열,,MCT4605,펌웨어개발,3.0,4학년(1학기),
45,전공선택,,IT계열,,MCT4607,집적회로설계,3.0,4학년(2학기),
